Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m3)
5/3/year 1,3554,25.55555556,10.55555556,42.5,47.8376315,0,1202.549049
5/4/year 1,3554,26.66666667,10,38.5,47.6847442,0,1154.247217
5/5/year 1,2789,26.66666667,11.66666667,39.5,47.8537249,0,1052.646813
5/6/year 1,2789,30,14.44444444,37,47.9663787,0,1171.735811
5/7/year 1,3554,26.66666667,14.44444444,43.5,47.877865,0,1182.562084
5/8/year 1,3554,28.33333333,12.77777778,41,47.8376315,0,1134.260252
5/9/year 1,3554,30,11.11111111,30,47.9020051,0,1131.761882
5/10/year 1,3554,30,13.88888889,40,47.9100518,0,1154.247217
5/11/year 1,3554,28.33333333,13.33333333,45,47.8376315,0,1173.401392
5/12/year 1,2789,27.77777778,12.22222222,39.5,47.8054447,0,1157.578378
5/13/year 1,2789,26.66666667,11.66666667,41,47.8859117,0,1152.581637
5/14/year 1,3554,28.88888889,9.444444444,31.5,47.7410711,0,1047.650072
5/15/year 1,3554,30,10,28.5,47.7571645,0,1139.256994
5/16/year 1,3554,28.88888889,11.66666667,39,47.716931,0,1135.925833
5/17/year 1,3554,30,12.77777778,34.5,47.6847442,0,1183.394874
5/18/year 1,3554,30,10.55555556,29,47.8215381,0,1106.778176
5/19/year 1,2789,30,8.888888889,29.5,47.8537249,0,1136.001541
5/20/year 1,2789,26.66666667,10,32,47.8617716,0.08,1132.594672
5/21/year 1,3554,28.33333333,11.11111111,37,47.7732579,0,1232.529496
5/22/year 1,3554,30,10,28,47.8134914,0,1185.893245
5/23/year 1,3554,31.11111111,8.888888889,24.5,47.7813046,0.04,1164.2407
5/24/year 1,3554,31.11111111,10,26.5,47.6606041,0,1133.427462
5/25/year 1,3554,29.44444444,11.66666667,31.5,47.6606041,0,1078.463309
5/26/year 1,2789,28.88888889,12.22222222,37.5,47.7652112,0,995.941371
5/27/year 1,2789,30.55555556,11.11111111,37.5,47.7571645,0,1068.469827
5/28/year 1,3554,32.22222222,11.66666667,31.5,47.6123239,0,1039.32217
5/29/year 1,3554,33.33333333,8.333333333,19,47.7088843,0,1030.161477
5/30/year 1,3554,30.55555556,10,31,47.5720904,0,828.626249
5/31/year 1,3554,34.44444444,10.55555556,19.5,47.3628762,0,807.806494
6/1/year 1,3554,35.55555556,12.22222222,22.5,47.5077168,0,847.7804236
6/2/year 1,2789,34.44444444,9.444444444,20,47.4594366,0,905.2429474
6/3/year 1,2789,33.33333333,10.55555556,25,47.3387361,0,855.9569092
6/4/year 1,3554,33.88888889,11.11111111,24,47.3387361,0,930.2266534
6/5/year 1,3554,34.44444444,11.66666667,26,47.3789696,0,907.741318
6/6/year 1,3554,30.55555556,14.44444444,40.5,47.6203706,0.31,1185.060455
6/7/year 1,3554,30,13.88888889,40.5,47.7249777,0,1107.610966
6/8/year 1,3554,30,15,44,47.6766975,0,1184.227664
6/9/year 1,2789,32.22222222,12.22222222,28.5,47.5318569,0,1166.814778
6/10/year 1,2789,33.33333333,12.22222222,28,47.5077168,0,1178.398133
6/11/year 1,3554,32.22222222,13.88888889,34,47.4996701,0,1115.938868
6/12/year 1,3554,32.77777778,11.66666667,28.5,47.6203706,0.04,1082.62726
6/13/year 1,3554,32.22222222,13.88888889,34,47.5801371,0,1114.273288
6/14/year 1,3554,33.33333333,12.77777778,30,47.6284173,0,1052.646813
6/15/year 1,3554,33.33333333,12.77777778,30,47.4352965,0,1029.328687
6/16/year 1,2789,35.55555556,13.33333333,28,47.2743625,0,969.3677928
6/17/year 1,2789,35.55555556,12.77777778,25.5,47.234129,0,983.5252262
6/18/year 1,1769,32.22222222,13.33333333,31,47.4352965,0,983.5252262
6/19/year 1,1769,32.22222222,13.33333333,32.5,47.3789696,0,986.0235968
6/20/year 1,1769,34.44444444,13.33333333,29,47.2582691,0,980.1940654
6/21/year 1,1769,35.55555556,13.33333333,27,47.2099889,0,980.1940654
6/22/year 1,1769,36.66666667,15,27,47.3065493,0,946.0496672
6/23/year 1,1539,36.66666667,16.66666667,28.5,47.3387361,0,881.0920316
6/24/year 1,1539,35.55555556,15.55555556,31,47.2502224,0,956.8002316
6/25/year 1,1769,34.44444444,16.11111111,33,47.3709229,0,930.2266534
6/26/year 1,1769,33.33333333,12.77777778,30.5,47.3709229,0,979.3612752
6/27/year 1,1769,33.33333333,15.55555556,40,47.4916234,0,951.8791986
6/28/year 1,1769,32.22222222,15.55555556,38.5,47.5077168,0,973.5317438
